Rainfall,Temperature,Humidity,SoilType,FertilizerKG,CropType,AreaAcres,YieldKG
416,15,65,Sandy,187,Maize,2,755.8
704,17,87,Sandy,113,Maize,8,674.2
1196,15,66,Sandy,73,Rice,6,1080.8
774,31,63,Loam,53,Wheat,3,942.2
1170,26,42,Sandy,139,Maize,9,1272.0
382,25,50,Clay,71,Wheat,8,315.6
751,16,33,Clay,103,Maize,2,646.8
792,20,54,Clay,37,Maize,4,816.6
845,29,59,Sandy,90,Maize,9,911.0
907,30,43,Loam,155,Maize,2,747.6
1017,27,32,Loam,124,Rice,1,999.6
1200,35,39,Clay,148,Wheat,2,1166.0
973,29,75,Clay,103,Wheat,9,955.4
1074,23,90,Sandy,68,Maize,3,875.2
999,32,42,Sandy,108,Rice,6,918.2
892,26,89,Clay,130,Rice,6,775.6
749,32,47,Sandy,145,Wheat,6,600.2
498,22,67,Sandy,110,Maize,10,621.4
868,28,35,Clay,48,Wheat,3,869.4
557,20,41,Sandy,107,Rice,4,758.6
1018,22,59,Loam,199,Maize,10,897.4
973,23,81,Loam,192,Wheat,7,805.4
1087,34,72,Sandy,132,Maize,2,1190.6
1069,26,90,Clay,49,Maize,2,1068.2
290,27,34,Clay,99,Wheat,9,593.0
458,15,85,Loam,36,Maize,9,498.4
443,26,90,Loam,130,Rice,3,557.4
396,26,69,Clay,178,Wheat,7,432.8
341,28,39,Sandy,160,Wheat,5,529.8
407,18,85,Clay,167,Maize,5,478.6
1047,33,47,Loam,39,Rice,3,1105.6
768,39,33,Loam,59,Wheat,9,685.4
976,35,54,Loam,151,Wheat,4,809.8
1021,16,43,Sandy,55,Rice,9,954.8
284,37,61,Clay,48,Maize,8,419.2
527,27,65,Loam,127,Maize,9,746.6
764,16,86,Sandy,168,Wheat,1,828.2
491,20,89,Sandy,116,Maize,1,787.8
765,36,64,Loam,54,Maize,3,634.0
778,31,54,Loam,62,Rice,10,575.4
315,32,57,Sandy,65,Rice,7,529.0
1181,40,85,Loam,74,Wheat,2,1094.8
421,18,80,Loam,170,Maize,8,553.8
424,16,59,Loam,119,Maize,8,718.2
832,17,57,Sandy,95,Wheat,1,1044.6
606,26,82,Sandy,162,Maize,4,710.8
467,30,37,Loam,106,Maize,1,354.6
895,30,81,Sandy,136,Wheat,5,984.0
1014,28,83,Sandy,179,Rice,1,1106.2
1200,15,59,Sandy,44,Maize,3,1108.0
290,16,44,Loam,54,Wheat,7,554.0
1008,34,65,Clay,149,Rice,9,749.4
626,29,56,Loam,196,Maize,2,550.8
998,37,89,Sandy,43,Maize,8,939.4
561,26,69,Loam,154,Maize,10,467.8
387,26,59,Loam,142,Rice,8,662.6
391,21,69,Sandy,81,Wheat,7,478.8
509,30,30,Clay,122,Rice,8,557.2
645,37,53,Sandy,146,Rice,4,671.0
1185,26,80,Sandy,93,Rice,4,1065.0
1152,17,43,Clay,59,Rice,9,983.6
347,16,47,Sandy,102,Rice,5,637.6
392,29,44,Sandy,48,Rice,9,554.6
210,35,35,Sandy,134,Wheat,9,399.0
962,34,88,Sandy,155,Rice,7,791.6
389,17,77,Loam,36,Maize,7,686.2
238,24,78,Sandy,163,Maize,1,409.4
983,31,34,Sandy,116,Wheat,8,873.4
276,31,72,Loam,63,Wheat,3,527.8
211,25,84,Sandy,182,Wheat,9,516.8
238,40,42,Loam,28,Maize,1,156.4
365,21,46,Loam,198,Rice,4,672.0
566,25,62,Clay,53,Wheat,8,470.8
956,18,79,Sandy,38,Rice,8,1026.8
1139,17,66,Sandy,154,Rice,3,1046.2
422,25,44,Sandy,70,Wheat,10,375.6
224,25,79,Clay,166,Wheat,2,188.2
568,24,52,Sandy,81,Maize,7,693.4
806,38,46,Loam,77,Wheat,1,853.8
352,35,47,Sandy,41,Wheat,1,485.6
688,31,65,Sandy,38,Maize,3,739.4
465,33,46,Clay,72,Rice,4,665.0
677,34,77,Loam,88,Wheat,9,657.6
971,15,70,Loam,200,Maize,8,1174.8
681,36,48,Sandy,162,Maize,8,853.8
274,20,86,Loam,97,Wheat,2,473.2
1080,27,34,Clay,83,Rice,9,839.0
903,21,55,Clay,166,Rice,9,955.4
886,27,61,Sandy,150,Maize,4,989.8
1175,23,84,Loam,106,Maize,5,1178.0
905,17,70,Sandy,66,Maize,9,1000.0
207,29,57,Loam,109,Wheat,1,271.6
279,24,59,Loam,28,Wheat,10,333.2
1017,28,46,Sandy,131,Wheat,9,838.6
661,36,52,Sandy,22,Rice,2,726.8
204,38,56,Loam,39,Rice,9,208.2
1180,35,80,Loam,101,Maize,2,1216.0
943,16,67,Loam,196,Wheat,4,817.4
330,25,58,Sandy,65,Rice,2,617.0
446,30,30,Sandy,31,Rice,8,346.8
883,19,86,Sandy,52,Wheat,6,847.4
970,32,33,Sandy,157,Wheat,9,1010.0
1199,34,48,Clay,188,Wheat,6,1021.2
1195,35,74,Loam,66,Maize,10,1269.0
718,18,68,Clay,111,Maize,2,731.4
308,30,66,Sandy,121,Wheat,8,333.4
334,32,73,Clay,92,Wheat,5,508.2
1120,20,37,Sandy,27,Rice,3,1221.0
921,26,87,Sandy,101,Wheat,5,714.8
711,17,43,Sandy,23,Maize,5,710.8
1060,30,73,Loam,51,Maize,6,1086.0
1145,17,37,Sandy,46,Maize,1,1001.0
811,40,83,Loam,186,Maize,5,800.8
312,27,60,Loam,50,Wheat,4,255.6
329,40,74,Loam,169,Rice,7,549.2
861,40,78,Sandy,95,Maize,8,662.8
437,27,43,Clay,181,Maize,10,558.6
376,16,86,Sandy,151,Rice,10,492.8
810,30,78,Sandy,156,Wheat,5,978.0
422,31,59,Loam,120,Maize,3,391.6
414,31,75,Sandy,168,Rice,8,536.2
1126,31,59,Loam,152,Rice,1,1197.8
896,28,77,Clay,125,Wheat,5,737.8
562,21,48,Clay,82,Maize,5,695.6
580,32,62,Clay,60,Maize,5,762.0
1181,27,86,Loam,101,Maize,3,1176.8
685,40,56,Clay,109,Wheat,8,755.0
979,38,87,Clay,148,Wheat,3,905.2
1120,26,30,Loam,71,Wheat,6,937.0
1136,20,60,Clay,53,Maize,7,1248.8
430,22,73,Loam,103,Wheat,1,496.0
1051,21,75,Clay,87,Rice,7,1221.8
349,15,31,Sandy,78,Rice,2,638.2
490,28,77,Loam,178,Maize,2,676.0
989,22,80,Sandy,60,Rice,4,1163.2
447,17,84,Sandy,40,Rice,4,392.6
1072,20,88,Loam,93,Rice,2,876.6
363,36,35,Clay,179,Wheat,2,281.4
1065,40,64,Clay,106,Maize,1,752.0
238,18,76,Loam,149,Maize,4,481.4
585,23,43,Sandy,200,Rice,3,805.0
328,38,32,Sandy,139,Maize,5,568.4
362,39,75,Sandy,26,Rice,5,469.6
243,30,53,Sandy,135,Rice,3,471.4
1058,40,53,Sandy,53,Maize,7,1035.4
1147,35,63,Clay,145,Rice,4,1222.6
760,30,43,Clay,120,Rice,4,769.0
1078,24,43,Sandy,136,Rice,9,1224.4
328,17,43,Sandy,45,Wheat,8,541.4
371,37,61,Sandy,43,Wheat,2,522.8
231,33,55,Clay,189,Rice,9,212.8
783,33,68,Loam,57,Maize,10,946.4
811,19,89,Loam,87,Maize,10,750.8
460,30,49,Sandy,122,Rice,5,711.0
993,16,70,Clay,156,Rice,5,820.4
628,38,35,Loam,150,Maize,2,754.4
850,39,51,Sandy,73,Rice,3,864.0
424,28,75,Clay,162,Rice,7,372.2
637,38,80,Loam,40,Wheat,1,755.6
223,18,89,Loam,49,Wheat,10,255.4
738,25,45,Loam,153,Rice,4,833.4
892,21,32,Loam,168,Wheat,6,915.6
1016,40,68,Loam,40,Rice,10,736.8
764,32,79,Clay,48,Rice,9,564.2
727,26,75,Loam,174,Wheat,5,680.6
923,28,63,Sandy,116,Rice,10,851.4
603,17,38,Loam,122,Maize,10,712.4
971,23,77,Loam,117,Rice,4,964.8
449,34,31,Sandy,69,Rice,5,407.2
560,38,31,Loam,45,Wheat,10,418.0
1194,17,58,Loam,28,Rice,6,1279.2
995,25,30,Loam,23,Maize,7,847.0
820,31,56,Loam,165,Wheat,4,952.0
459,20,78,Sandy,132,Wheat,8,537.2
838,18,34,Sandy,91,Rice,8,799.4
570,32,66,Sandy,134,Wheat,4,643.0
205,33,43,Loam,122,Maize,6,258.0
468,28,64,Loam,154,Wheat,7,710.4
1180,31,63,Sandy,111,Rice,8,963.0
542,39,88,Clay,179,Wheat,1,724.6
762,21,67,Clay,190,Rice,2,671.6
384,27,38,Clay,112,Rice,10,637.2
463,22,43,Loam,183,Wheat,1,662.4
758,37,36,Clay,127,Wheat,1,819.4
915,26,63,Clay,105,Rice,6,910.0
